ID;Name;Category;Area;Length;Species;Impact;Regional
002-2305-R;Hornsjøen og Mossjøen, sidevassdrag;River;NA;NA;Phoxinus phoxinus;SE;TRUE
002-2307-R;Hynna, sidevassdrag;River;NA;9.17;Phoxinus phoxinus;SE;TRUE
002-2312-R;Ongsjøen nedre, sidevassdrag;River;NA;2.97;Phoxinus phoxinus;SE;TRUE
002-2313-R;Ongsjøbekken;River;NA;1.95;Phoxinus phoxinus;SE;TRUE
002-2316-R;Sjøsætervatnet, bekkefelt;River;NA;22.56;Phoxinus phoxinus;SE;TRUE
002-2319-R;Killielva, bekkefelt;River;NA;26.59;Phoxinus phoxinus;SE;TRUE
002-2321-R;Raudsjøen, bekkefelt;River;NA;12.67;Phoxinus phoxinus;SE;TRUE
002-2323-R;Raua, sidebekker;River;NA;15.34;Phoxinus phoxinus;SE;TRUE
002-232-L;Sjongsvatnet;Lake;1.696;NA;Phoxinus phoxinus;SE;TRUE
002-2330-R;Raua;River;NA;4.98;Phoxinus phoxinus;SE;TRUE
002-2333-R;Roppa;River;NA;7.07;Phoxinus phoxinus;SE;TRUE
002-2338-R;Benna, sidebekker;River;NA;31.05;Phoxinus phoxinus;SE;TRUE
002-2351-R;Sideelver Mesna;River;NA;31.27;Phoxinus phoxinus;SE;TRUE
002-2357-R;Vølodalen;River;NA;5.28;Phoxinus phoxinus;SE;TRUE
