ID;Name;Category;Area;Length;Species;Impact;Regional
002-3991-R;Fiskløysa;River;NA;7.63;Esox lucius;SE;TRUE
002-3991-R;Fiskløysa;River;NA;7.63;Phoxinus phoxinus;SE;TRUE
002-3993-R;Råbjørn bekkefelt;River;NA;5.36;Esox lucius;SE;TRUE
002-3993-R;Råbjørn bekkefelt;River;NA;5.36;Phoxinus phoxinus;SE;TRUE
002-3994-R;Fiskeløysa bekkefelt;River;NA;17.62;Esox lucius;SE;TRUE
002-3994-R;Fiskeløysa bekkefelt;River;NA;17.62;Phoxinus phoxinus;SE;TRUE
002-4000-R;Gjermåa Buvatnet - Mikkelsbekken;River;NA;6.65;Phoxinus phoxinus;SE;TRUE
002-4002-R;Gjermåa Gjermundsgjermenningen - Buvatnet;River;NA;3.11;Phoxinus phoxinus;SE;TRUE
002-4004-R;Gjermåa Storøyungen - Gjermundsgjermenningen;River;NA;3.28;Phoxinus phoxinus;SE;TRUE
002-4006-R;Storøyungen bekkefelt;River;NA;25.16;Phoxinus phoxinus;SE;TRUE
002-4008-R;Gjermåa Storøyungen - Gjermundsgjermenningen bekkefelt;River;NA;20.59;Phoxinus phoxinus;SE;TRUE
002-4010-R;Gjermåa Gjermundsgjermenningen - Buvatnet bekkefelt;River;NA;10.95;Phoxinus phoxinus;SE;TRUE
002-4012-R;Buvatnet bekkefelt;River;NA;3.79;Phoxinus phoxinus;SE;TRUE
002-4013-R;Gjermåa Buvatnet - Mikkelsbekken bekkefelt;River;NA;15.9;Phoxinus phoxinus;SE;TRUE
002-4016-L;Søndre Holsjøen;Lake;0.673;NA;Phoxinus phoxinus;SE;TRUE
002-4016-L;Søndre Holsjøen;Lake;0.673;NA;Phoxinus phoxinus;SE;TRUE
002-4020-R;Leira Kverndøla - Kringler;River;NA;8.36;Phoxinus phoxinus;SE;TRUE
002-4026-R;Tøla;River;NA;4.24;Phoxinus phoxinus;SE;TRUE
002-4027-R;Tøla oppstrøms Gamle Hadelandsveg;River;NA;11.59;Phoxinus phoxinus;SE;TRUE
002-4030-R;Vikka og sidebekk;River;NA;4.57;Phoxinus phoxinus;SE;TRUE
002-4033-R;Vikka oppstrøms Vesle Vikka;River;NA;5.52;Phoxinus phoxinus;SE;TRUE
002-4035-R;Tøla bekkefelt;River;NA;12.08;Phoxinus phoxinus;SE;TRUE
002-4036-R;Leira med tilløpsbekker Vårlaugmoen - Kringler;River;NA;5.55;Phoxinus phoxinus;SE;TRUE
002-4039-R;Kverndøla;River;NA;7.59;Phoxinus phoxinus;SE;TRUE
002-4041-R;Kvernsjøen bekkefelt;River;NA;15.27;Phoxinus phoxinus;SE;TRUE
002-4043-R;Kverndøla bekkefelt;River;NA;19.34;Phoxinus phoxinus;SE;TRUE
002-4045-R;Sulua;River;NA;10.31;Phoxinus phoxinus;SE;TRUE
002-4047-R;Snellingsbekken;River;NA;1.85;Phoxinus phoxinus;SE;TRUE
002-4049-L;Utsjøen;Lake;0.683;NA;Phoxinus phoxinus;SE;TRUE
002-4049-R;Sulua bekkefelt;River;NA;23.51;Phoxinus phoxinus;SE;TRUE
002-4053-R;Stråtjern bekkefelt;River;NA;10.27;Phoxinus phoxinus;SE;TRUE
002-4055-R;Leira Stråtjern - Kverndøla bekkefelt;River;NA;15.81;Phoxinus phoxinus;SE;TRUE
002-4056-R;Leira Avalsjøen - Stråtjern bekkefelt;River;NA;39.83;Phoxinus phoxinus;SE;TRUE
002-4057-R;Leira Stråtjern - Kverndøla;River;NA;5.87;Phoxinus phoxinus;SE;TRUE
002-4059-R;Leira Avalsjøen - Stråtjern;River;NA;6.14;Phoxinus phoxinus;SE;TRUE
002-4060-R;Åklangselva;River;NA;3.55;Phoxinus phoxinus;SE;TRUE
002-4061-R;Skjerva - Damtjernet;River;NA;0.24;Phoxinus phoxinus;SE;TRUE
002-4063-R;Avalsjøen bekkefelt;River;NA;6.63;Phoxinus phoxinus;SE;TRUE
002-4065-R;Åklangselva bekkefelt;River;NA;4.62;Phoxinus phoxinus;SE;TRUE
002-4069-R;Vesleelva;River;NA;4.74;Phoxinus phoxinus;SE;TRUE
002-4070-R;Vesleelva bekkefelt;River;NA;7.93;Phoxinus phoxinus;SE;TRUE
002-4071-R;Våja bekkefelt;River;NA;61.58;Phoxinus phoxinus;SE;TRUE
002-4072-R;Vassbråa bekkefelt;River;NA;9.56;Phoxinus phoxinus;SE;TRUE
002-4073-R;Ognillelva bekkefelt;River;NA;12.57;Phoxinus phoxinus;SE;TRUE
002-4075-R;Ognillelva;River;NA;5.65;Phoxinus phoxinus;SE;TRUE
002-4076-R;Malsjøen bekkefelt;River;NA;15.87;Phoxinus phoxinus;SE;TRUE
